Nº_envolvido,condutor,cod_severidade,sexo,cinto_seguranca,Embreagues,Idade,categoria_habilitacao,especie_veiculo,pedestre,passageiro,turno
1,1,3,1,1,0,45,7,1,0,0,1
2,1,1,1,1,0,32,4,3,0,0,1
3,0,1,2,1,0,13,0,3,0,1,1
1,1,1,1,1,0,45,0,3,0,0,1
3,1,3,2,1,0,40,0,1,0,0,1
1,1,3,1,1,0,49,7,2,0,0,0
2,0,1,2,1,0,36,0,2,0,1,0
1,1,1,1,1,0,59,6,3,0,0,1
2,0,1,1,0,0,31,0,6,1,0,1
1,1,3,1,1,0,52,3,1,0,0,1
1,1,3,1,1,0,36,4,1,0,0,2
3,0,1,2,1,0,24,0,3,0,1,2
1,1,3,1,1,0,47,8,1,0,0,1
2,1,1,2,1,0,36,4,1,0,0,1
1,1,3,1,1,0,40,6,1,0,0,2
2,1,3,1,1,0,61,10,2,0,0,2
3,0,1,1,0,0,44,0,6,1,0,2
1,1,1,1,1,0,33,6,3,0,0,1
2,1,1,1,0,0,21,1,0,0,0,2
1,1,1,1,1,0,39,6,3,0,0,2
2,1,3,1,1,0,41,9,1,0,0,2
1,1,3,2,1,0,40,4,1,0,0,2
1,1,3,2,1,0,34,4,1,0,0,1
2,1,3,2,1,0,19,6,1,0,0,1
3,1,1,1,1,0,26,4,3,0,0,1
1,1,1,1,1,0,29,8,3,0,0,1
2,1,3,1,1,0,23,4,1,0,0,1
1,0,1,1,0,0,73,0,6,1,2,2
3,1,3,1,0,2,0,0,1,2,2,2
2,1,0,0,0,2,0,0,1,2,2,1
1,1,1,1,1,0,25,3,3,0,0,1
2,1,3,2,1,0,36,4,1,0,0,1
1,1,1,2,1,0,35,2,3,0,0,1
2,1,3,1,1,0,75,6,1,0,0,1
1,1,1,1,1,0,23,0,3,0,0,2
2,1,3,1,0,2,0,0,3,2,2,2
1,1,3,2,1,0,40,4,1,0,0,1
2,1,1,1,1,0,28,7,3,0,0,1
1,1,1,2,1,0,27,6,3,0,0,1
4,1,3,2,0,2,0,0,13,2,2,1
1,0,1,2,0,0,22,0,6,1,0,1
2,1,3,2,1,0,41,0,1,0,0,1
1,1,1,1,1,0,22,6,3,0,0,1
3,1,0,0,0,2,0,0,1,2,2,1
1,1,1,1,1,0,46,6,3,0,0,1
2,1,3,1,1,0,28,6,1,0,0,1
1,1,3,1,1,0,34,6,1,0,0,1
